model,fnat,lrmsd,irmsd,dockQ
complex.5_1_7_corrected_H_0001_T41,0.035,18.996,11.802,0.073
complex.5_2_10_corrected_H_0001_T41,0.14,23.629,5.551,0.108
complex.5_2_2_corrected_H_0001_T41,0.035,16.507,10.389,0.088
complex.5_2_6_corrected_H_0001_T41,0.281,17.675,5.186,0.182
complex.5_2_7_corrected_H_0001_T41,0.088,16.772,6.695,0.113
complex.5_2_8_corrected_H_0001_T41,0.053,16.766,6.159,0.104
complex.5_3_22_corrected_H_0001_T41,0.14,13.165,7.02,0.159
complex.5_4_11_corrected_H_0001_T41,0.175,10.021,4.895,0.227
complex.5_4_17_corrected_H_0001_T41,0.298,11.333,4.129,0.258
complex.5_4_18_corrected_H_0001_T41,0.175,9.348,4.478,0.243
complex.5_4_20_corrected_H_0001_T41,0.123,12.829,4.376,0.178
complex.5_4_25_corrected_H_0001_T41,0.228,12.768,3.465,0.231
complex.5_4_31_corrected_H_0001_T41,0.158,10.783,6.029,0.2
complex.5_4_39_corrected_H_0001_T41,0.281,9.837,3.46,0.289
complex.5_4_3_corrected_H_0001_T41,0.281,13.445,3.171,0.25
complex.5_4_42_corrected_H_0001_T41,0.193,15.32,5.983,0.162
complex.5_4_4_corrected_H_0001_T41,0.228,9.994,4.718,0.247
complex.5_5_12_corrected_H_0001_T41,0.123,9.3,4.767,0.223
complex.5_5_14_corrected_H_0001_T41,0.193,8.076,4.313,0.275
complex.5_5_23_corrected_H_0001_T41,0.211,10.566,4.89,0.23
complex.5_5_27_corrected_H_0001_T41,0.351,12.625,3.767,0.267
complex.5_5_3_corrected_H_0001_T41,0.088,8.38,5.225,0.224
complex.5_6_11_corrected_H_0001_T41,0.193,7.067,2.656,0.342
complex.5_6_22_corrected_H_0001_T41,0.316,12.268,2.885,0.284
complex.5_6_26_corrected_H_0001_T41,0.105,11.559,3.489,0.204
complex.5_6_37_corrected_H_0001_T41,0.211,9.975,3.253,0.269
complex.5_7_0_corrected_H_0001_T41,0.211,6.058,3.206,0.351
complex.5_7_19_corrected_H_0001_T41,0.333,8.719,3.438,0.327
complex.5_7_37_corrected_H_0001_T41,0.386,5.73,1.821,0.493
complex.5_7_4_corrected_H_0001_T41,0.491,8.296,2.525,0.421
complex.5_8_33_corrected_H_0001_T41,0.316,3.864,2.0,0.501
complex.5_8_48_corrected_H_0001_T41,0.246,6.993,3.313,0.337
complex.5_9_18_corrected_H_0001_T41,0.474,5.243,1.837,0.533
complex.5_9_30_corrected_H_0001_T41,0.421,4.531,2.124,0.511
complex.5_9_49_corrected_H_0001_T41,0.474,7.475,1.824,0.48
complex.5_9_6_corrected_H_0001_T41,0.386,6.853,2.139,0.441
complex.6_0_17_corrected_H_0001_T41,0.018,30.643,8.976,0.039
complex.6_0_7_corrected_H_0001_T41,0.0,57.205,15.306,0.01
complex.6_0_8_corrected_H_0001_T41,0.0,30.548,8.827,0.033
complex.6_10_38_corrected_H_0001_T41,0.368,5.876,2.421,0.441
complex.6_10_41_corrected_H_0001_T41,0.474,6.304,1.746,0.514
complex.6_11_21_corrected_H_0001_T41,0.877,1.325,0.548,0.912
complex.6_11_25_corrected_H_0001_T41,0.439,5.11,1.957,0.514
complex.6_11_33_corrected_H_0001_T41,0.596,5.607,1.713,0.576
complex.6_11_39_corrected_H_0001_T41,0.632,3.448,1.636,0.649
complex.6_11_40_corrected_H_0001_T41,0.789,4.731,1.327,0.705
complex.6_11_43_corrected_H_0001_T41,0.421,4.737,2.165,0.503
complex.6_11_8_corrected_H_0001_T41,0.702,3.288,1.627,0.677
complex.6_12_28_corrected_H_0001_T41,0.491,3.214,1.6,0.611
complex.6_12_43_corrected_H_0001_T41,0.579,3.085,1.558,0.648
complex.6_12_46_corrected_H_0001_T41,0.544,2.082,1.026,0.723
complex.6_12_48_corrected_H_0001_T41,0.895,2.523,0.922,0.847
complex.6_13_18_corrected_H_0001_T41,0.877,1.665,0.7,0.887
complex.6_13_30_corrected_H_0001_T41,0.965,2.027,0.748,0.904
complex.6_13_37_corrected_H_0001_T41,0.912,2.464,1.184,0.817
complex.6_13_39_corrected_H_0001_T41,0.614,2.371,0.927,0.755
complex.6_13_40_corrected_H_0001_T41,0.93,3.779,1.149,0.798
complex.6_13_9_corrected_H_0001_T41,0.842,2.887,1.226,0.779
complex.6_14_25_corrected_H_0001_T41,0.912,1.845,0.737,0.891
complex.6_14_32_corrected_H_0001_T41,0.842,3.566,1.057,0.787
complex.6_14_42_corrected_H_0001_T41,0.754,2.878,1.042,0.775
complex.6_15_10_corrected_H_0001_T41,0.825,4.256,1.083,0.76
complex.6_15_12_corrected_H_0001_T41,0.93,1.927,0.672,0.905
complex.6_15_28_corrected_H_0001_T41,0.825,3.303,0.945,0.803
complex.6_15_32_corrected_H_0001_T41,0.877,2.36,1.059,0.824
complex.6_15_37_corrected_H_0001_T41,0.789,4.261,1.058,0.752
complex.6_16_16_corrected_H_0001_T41,0.895,1.15,0.711,0.898
complex.6_16_37_corrected_H_0001_T41,0.842,0.961,0.672,0.888
complex.6_16_45_corrected_H_0001_T41,0.684,2.354,1.061,0.76
complex.6_16_48_corrected_H_0001_T41,0.895,3.445,1.027,0.812
complex.6_16_8_corrected_H_0001_T41,0.912,2.048,0.841,0.873
complex.6_17_12_corrected_H_0001_T41,0.754,1.003,0.629,0.864
complex.6_17_14_corrected_H_0001_T41,0.842,2.582,0.749,0.853
complex.6_17_28_corrected_H_0001_T41,0.947,2.439,0.794,0.884
complex.6_17_3_corrected_H_0001_T41,0.842,0.791,0.556,0.904
complex.6_17_49_corrected_H_0001_T41,0.912,1.094,0.614,0.918
complex.6_17_9_corrected_H_0001_T41,0.825,2.848,0.809,0.833
complex.6_18_14_corrected_H_0001_T41,0.947,0.743,0.416,0.956
complex.6_18_17_corrected_H_0001_T41,0.912,0.745,0.466,0.939
complex.6_18_20_corrected_H_0001_T41,0.877,1.616,0.71,0.886
complex.6_18_28_corrected_H_0001_T41,0.877,2.02,0.688,0.883
complex.6_1_24_corrected_H_0001_T41,0.0,30.903,12.921,0.028
complex.6_1_25_corrected_H_0001_T41,0.07,34.483,9.108,0.051
complex.6_1_37_corrected_H_0001_T41,0.053,19.262,13.143,0.076
complex.6_1_43_corrected_H_0001_T41,0.018,27.228,7.734,0.048
complex.6_1_8_corrected_H_0001_T41,0.018,19.271,10.863,0.066
complex.6_2_14_corrected_H_0001_T41,0.105,17.214,10.715,0.107
complex.6_2_30_corrected_H_0001_T41,0.088,18.641,9.874,0.094
complex.6_3_13_corrected_H_0001_T41,0.123,14.472,4.313,0.162
complex.6_3_29_corrected_H_0001_T41,0.158,11.285,6.167,0.192
complex.6_3_30_corrected_H_0001_T41,0.018,12.579,6.013,0.13
complex.6_3_48_corrected_H_0001_T41,0.105,11.201,6.275,0.175
complex.6_3_49_corrected_H_0001_T41,0.07,12.444,5.399,0.153
complex.6_3_4_corrected_H_0001_T41,0.14,13.903,4.393,0.172
complex.6_3_8_corrected_H_0001_T41,0.193,13.342,6.264,0.179
complex.6_4_15_corrected_H_0001_T41,0.211,13.969,3.647,0.208
complex.6_5_26_corrected_H_0001_T41,0.14,8.972,3.59,0.254
complex.6_5_30_corrected_H_0001_T41,0.105,9.692,4.595,0.212
complex.6_5_39_corrected_H_0001_T41,0.298,14.254,3.481,0.239
complex.6_5_42_corrected_H_0001_T41,0.193,12.793,3.242,0.225
complex.6_5_44_corrected_H_0001_T41,0.333,12.39,3.791,0.263
complex.6_5_7_corrected_H_0001_T41,0.14,12.774,3.248,0.208
complex.6_6_16_corrected_H_0001_T41,0.193,7.288,3.957,0.298
complex.6_6_20_corrected_H_0001_T41,0.228,6.668,3.825,0.327
complex.6_6_28_corrected_H_0001_T41,0.333,10.597,4.3,0.278
complex.6_6_31_corrected_H_0001_T41,0.333,9.204,3.052,0.329
complex.6_6_34_corrected_H_0001_T41,0.263,8.029,3.913,0.307
complex.6_6_3_corrected_H_0001_T41,0.491,10.108,2.979,0.369
complex.6_6_8_corrected_H_0001_T41,0.263,7.179,3.765,0.328
complex.6_7_18_corrected_H_0001_T41,0.421,7.407,3.195,0.39
complex.6_7_20_corrected_H_0001_T41,0.368,6.755,2.616,0.41
complex.6_7_27_corrected_H_0001_T41,0.263,7.681,3.223,0.331
complex.6_7_31_corrected_H_0001_T41,0.439,11.536,3.036,0.329
complex.6_7_35_corrected_H_0001_T41,0.228,10.117,2.647,0.295
complex.6_7_48_corrected_H_0001_T41,0.316,9.186,2.618,0.341
complex.6_7_7_corrected_H_0001_T41,0.351,5.685,2.817,0.421
complex.6_8_15_corrected_H_0001_T41,0.351,6.491,2.574,0.412
complex.6_8_16_corrected_H_0001_T41,0.526,8.0,2.503,0.44
complex.6_8_25_corrected_H_0001_T41,0.544,8.346,2.285,0.451
complex.6_8_26_corrected_H_0001_T41,0.421,6.579,2.092,0.462
complex.6_8_42_corrected_H_0001_T41,0.228,8.934,3.163,0.296
complex.6_8_46_corrected_H_0001_T41,0.246,7.823,2.632,0.344
complex.6_8_47_corrected_H_0001_T41,0.298,7.869,2.886,0.35
complex.6_8_5_corrected_H_0001_T41,0.368,7.669,2.116,0.418
complex.6_8_9_corrected_H_0001_T41,0.596,8.128,2.117,0.484
complex.6_9_11_corrected_H_0001_T41,0.316,3.863,2.237,0.485
complex.6_9_35_corrected_H_0001_T41,0.544,7.866,2.032,0.478
complex.7_0_23_corrected_H_0001_T41,0.0,46.184,12.278,0.016
complex.7_0_30_corrected_H_0001_T41,0.0,51.646,12.27,0.014
complex.7_0_31_corrected_H_0001_T41,0.0,48.738,12.364,0.015
complex.7_0_37_corrected_H_0001_T41,0.0,25.645,13.949,0.037
complex.7_0_3_corrected_H_0001_T41,0.0,58.422,16.313,0.01
complex.7_0_9_corrected_H_0001_T41,0.0,40.594,12.605,0.019
complex.7_10_24_corrected_H_0001_T41,0.421,4.825,2.246,0.495
complex.7_10_26_corrected_H_0001_T41,0.667,4.913,1.546,0.634
complex.7_10_27_corrected_H_0001_T41,0.386,5.019,2.385,0.47
complex.7_10_33_corrected_H_0001_T41,0.439,5.5,1.905,0.509
complex.7_10_34_corrected_H_0001_T41,0.561,6.354,1.788,0.539
complex.7_10_35_corrected_H_0001_T41,0.895,2.484,1.109,0.821
complex.7_10_43_corrected_H_0001_T41,0.421,4.487,1.658,0.551
complex.7_10_44_corrected_H_0001_T41,0.474,5.049,1.396,0.583
complex.7_10_47_corrected_H_0001_T41,0.596,6.175,1.92,0.543
complex.7_10_5_corrected_H_0001_T41,0.439,3.847,1.833,0.557
complex.7_10_9_corrected_H_0001_T41,0.474,8.386,2.121,0.438
complex.7_11_10_corrected_H_0001_T41,0.456,4.95,1.556,0.562
complex.7_11_20_corrected_H_0001_T41,0.596,5.779,1.632,0.579
complex.7_11_28_corrected_H_0001_T41,0.439,4.79,1.62,0.553
complex.7_11_42_corrected_H_0001_T41,0.667,6.312,1.627,0.59
complex.7_11_49_corrected_H_0001_T41,0.421,7.254,2.012,0.452
complex.7_11_7_corrected_H_0001_T41,0.404,5.059,1.484,0.549
complex.7_12_25_corrected_H_0001_T41,0.632,3.22,1.315,0.691
complex.7_12_26_corrected_H_0001_T41,0.912,1.95,0.999,0.852
complex.7_12_30_corrected_H_0001_T41,0.895,1.884,0.531,0.912
complex.7_12_3_corrected_H_0001_T41,0.684,5.381,1.491,0.634
complex.7_12_5_corrected_H_0001_T41,0.579,2.555,1.265,0.693
complex.7_12_6_corrected_H_0001_T41,0.877,1.522,0.562,0.908
complex.7_13_13_corrected_H_0001_T41,0.842,2.979,0.89,0.824
complex.7_13_19_corrected_H_0001_T41,0.93,2.016,0.755,0.892
complex.7_13_21_corrected_H_0001_T41,0.561,2.635,1.126,0.704
complex.7_13_28_corrected_H_0001_T41,0.526,4.225,1.27,0.637
complex.7_13_8_corrected_H_0001_T41,0.912,2.016,0.853,0.872
complex.7_14_16_corrected_H_0001_T41,0.719,2.124,0.717,0.825
complex.7_14_19_corrected_H_0001_T41,0.544,1.902,1.054,0.722
complex.7_14_21_corrected_H_0001_T41,0.86,0.977,0.552,0.909
complex.7_14_24_corrected_H_0001_T41,0.807,2.258,0.683,0.856
complex.7_14_38_corrected_H_0001_T41,0.877,2.003,1.082,0.827
complex.7_14_47_corrected_H_0001_T41,0.912,2.404,0.873,0.862
complex.7_15_24_corrected_H_0001_T41,0.825,1.548,0.649,0.878
complex.7_15_26_corrected_H_0001_T41,0.86,3.841,1.096,0.781
complex.7_15_34_corrected_H_0001_T41,0.702,4.149,1.135,0.715
complex.7_15_35_corrected_H_0001_T41,0.544,2.601,1.086,0.705
complex.7_15_5_corrected_H_0001_T41,0.842,3.765,1.052,0.783
complex.7_16_31_corrected_H_0001_T41,0.93,1.227,0.628,0.92
complex.7_16_32_corrected_H_0001_T41,0.912,1.371,0.652,0.909
complex.7_16_41_corrected_H_0001_T41,0.807,4.015,1.111,0.757
complex.7_16_43_corrected_H_0001_T41,0.912,2.853,0.904,0.848
complex.7_17_10_corrected_H_0001_T41,0.93,0.982,0.589,0.928
complex.7_17_15_corrected_H_0001_T41,0.912,2.221,0.844,0.869
complex.7_17_18_corrected_H_0001_T41,0.895,1.939,0.775,0.878
complex.7_17_1_corrected_H_0001_T41,0.93,2.364,0.862,0.87
complex.7_17_35_corrected_H_0001_T41,0.877,0.767,0.472,0.926
complex.7_17_36_corrected_H_0001_T41,0.596,1.757,0.916,0.761
complex.7_17_41_corrected_H_0001_T41,0.877,3.031,1.061,0.81
complex.7_18_15_corrected_H_0001_T41,0.93,1.746,0.63,0.913
complex.7_18_18_corrected_H_0001_T41,0.982,0.851,0.461,0.962
complex.7_18_21_corrected_H_0001_T41,0.842,2.498,0.755,0.853
complex.7_18_26_corrected_H_0001_T41,0.825,1.835,0.592,0.882
complex.7_18_35_corrected_H_0001_T41,0.895,2.555,0.824,0.86
complex.7_18_8_corrected_H_0001_T41,0.789,0.954,0.572,0.883
complex.7_19_1_corrected_H_0001_T41,0.982,0.833,0.452,0.963
complex.7_1_13_corrected_H_0001_T41,0.018,26.925,13.59,0.04
complex.7_1_18_corrected_H_0001_T41,0.018,20.918,12.61,0.058
complex.7_1_40_corrected_H_0001_T41,0.018,22.102,12.058,0.054
complex.7_1_6_corrected_H_0001_T41,0.0,25.719,10.466,0.04
complex.7_2_11_corrected_H_0001_T41,0.035,13.462,7.766,0.119
complex.7_2_15_corrected_H_0001_T41,0.088,10.824,5.533,0.179
complex.7_2_22_corrected_H_0001_T41,0.158,20.914,6.52,0.117
complex.7_2_25_corrected_H_0001_T41,0.07,18.748,12.564,0.085
complex.7_2_34_corrected_H_0001_T41,0.0,14.261,6.776,0.103
complex.7_2_41_corrected_H_0001_T41,0.105,18.083,5.636,0.117
complex.7_2_42_corrected_H_0001_T41,0.158,27.814,8.415,0.091
complex.7_3_18_corrected_H_0001_T41,0.088,11.537,4.958,0.174
complex.7_3_23_corrected_H_0001_T41,0.14,11.747,6.22,0.18
complex.7_3_44_corrected_H_0001_T41,0.211,19.015,6.387,0.143
complex.7_3_46_corrected_H_0001_T41,0.211,17.399,4.522,0.167
complex.7_3_47_corrected_H_0001_T41,0.211,18.202,4.938,0.158
complex.7_4_1_corrected_H_0001_T41,0.158,9.623,5.395,0.223
complex.7_4_22_corrected_H_0001_T41,0.158,10.677,5.836,0.203
complex.7_5_10_corrected_H_0001_T41,0.175,8.959,4.734,0.247
complex.7_5_20_corrected_H_0001_T41,0.316,12.904,3.205,0.266
complex.7_5_47_corrected_H_0001_T41,0.228,14.862,4.332,0.194
complex.7_5_49_corrected_H_0001_T41,0.123,8.102,4.52,0.249
complex.7_5_9_corrected_H_0001_T41,0.14,8.672,5.345,0.234
complex.7_6_10_corrected_H_0001_T41,0.228,9.785,3.066,0.284
complex.7_6_12_corrected_H_0001_T41,0.246,6.752,3.393,0.341
complex.7_6_25_corrected_H_0001_T41,0.193,8.541,3.507,0.282
complex.7_6_33_corrected_H_0001_T41,0.123,8.286,4.526,0.245
complex.7_6_41_corrected_H_0001_T41,0.175,9.097,3.517,0.265
complex.7_6_43_corrected_H_0001_T41,0.228,7.799,4.078,0.297
complex.7_6_49_corrected_H_0001_T41,0.246,8.346,4.492,0.285
complex.7_6_6_corrected_H_0001_T41,0.281,6.308,3.503,0.36
complex.7_6_9_corrected_H_0001_T41,0.228,7.103,3.093,0.336
complex.7_7_13_corrected_H_0001_T41,0.561,10.546,2.967,0.386
complex.7_7_34_corrected_H_0001_T41,0.386,10.341,3.004,0.33
complex.7_7_39_corrected_H_0001_T41,0.386,12.03,3.379,0.295
complex.7_7_47_corrected_H_0001_T41,0.228,9.541,3.362,0.279
complex.7_7_5_corrected_H_0001_T41,0.351,6.913,2.43,0.41
complex.7_8_18_corrected_H_0001_T41,0.544,8.057,2.241,0.46
complex.7_8_28_corrected_H_0001_T41,0.526,5.183,1.783,0.557
complex.7_8_2_corrected_H_0001_T41,0.333,3.815,2.186,0.495
complex.7_8_41_corrected_H_0001_T41,0.491,7.072,2.126,0.472
complex.7_8_45_corrected_H_0001_T41,0.351,6.259,2.384,0.428
complex.7_9_12_corrected_H_0001_T41,0.351,5.941,2.485,0.43
complex.7_9_14_corrected_H_0001_T41,0.386,6.453,2.519,0.427
complex.7_9_17_corrected_H_0001_T41,0.281,5.816,2.702,0.399
complex.7_9_26_corrected_H_0001_T41,0.474,5.089,1.542,0.565
complex.7_9_34_corrected_H_0001_T41,0.474,6.703,2.483,0.453
complex.7_9_37_corrected_H_0001_T41,0.439,4.614,2.41,0.497
complex.7_9_38_corrected_H_0001_T41,0.263,4.782,2.617,0.423
complex.7_9_43_corrected_H_0001_T41,0.474,8.668,2.354,0.418
complex.7_9_5_corrected_H_0001_T41,0.333,6.006,2.773,0.409
complex.7_9_8_corrected_H_0001_T41,0.368,7.829,2.336,0.4
complex.8_0_13_corrected_H_0001_T41,0.0,58.07,15.178,0.01
complex.8_0_14_corrected_H_0001_T41,0.035,30.355,13.465,0.04
complex.8_0_21_corrected_H_0001_T41,0.018,35.419,12.12,0.029
complex.8_0_27_corrected_H_0001_T41,0.0,36.988,13.214,0.021
complex.8_0_28_corrected_H_0001_T41,0.0,26.053,12.735,0.037
complex.8_0_39_corrected_H_0001_T41,0.0,48.147,11.398,0.016
complex.8_0_46_corrected_H_0001_T41,0.0,45.437,13.669,0.015
complex.8_10_0_corrected_H_0001_T41,0.544,4.142,2.014,0.57
complex.8_10_19_corrected_H_0001_T41,0.386,6.317,1.664,0.493
complex.8_10_20_corrected_H_0001_T41,0.526,3.599,1.524,0.622
complex.8_10_22_corrected_H_0001_T41,0.667,5.283,1.559,0.623
complex.8_10_2_corrected_H_0001_T41,0.491,5.503,1.781,0.537
complex.8_10_30_corrected_H_0001_T41,0.386,5.011,1.786,0.514
complex.8_10_48_corrected_H_0001_T41,0.404,6.082,2.283,0.455
complex.8_11_27_corrected_H_0001_T41,0.86,3.175,0.967,0.815
complex.8_11_36_corrected_H_0001_T41,0.719,6.148,1.54,0.621
complex.8_11_38_corrected_H_0001_T41,0.754,5.181,1.45,0.667
complex.8_11_44_corrected_H_0001_T41,0.754,3.379,1.486,0.707
complex.8_12_11_corrected_H_0001_T41,0.807,5.683,1.375,0.68
complex.8_12_22_corrected_H_0001_T41,0.474,3.709,1.647,0.589
complex.8_12_27_corrected_H_0001_T41,0.754,2.695,0.951,0.792
complex.8_12_39_corrected_H_0001_T41,0.421,4.988,1.785,0.526
complex.8_12_49_corrected_H_0001_T41,0.684,5.1,1.318,0.661
complex.8_12_7_corrected_H_0001_T41,0.491,2.991,1.634,0.613
complex.8_13_17_corrected_H_0001_T41,0.877,2.142,0.722,0.877
complex.8_13_34_corrected_H_0001_T41,0.93,1.916,1.001,0.858
complex.8_13_47_corrected_H_0001_T41,0.912,2.877,1.143,0.814
complex.8_13_5_corrected_H_0001_T41,0.86,1.552,0.599,0.897
complex.8_14_45_corrected_H_0001_T41,0.93,1.366,0.84,0.889
complex.8_14_4_corrected_H_0001_T41,0.702,2.694,1.02,0.765
complex.8_15_17_corrected_H_0001_T41,0.877,3.837,1.099,0.786
complex.8_15_1_corrected_H_0001_T41,0.895,2.319,0.719,0.88
complex.8_15_25_corrected_H_0001_T41,0.877,1.974,0.945,0.847
complex.8_15_33_corrected_H_0001_T41,0.877,2.478,0.836,0.854
complex.8_15_3_corrected_H_0001_T41,0.772,2.117,0.843,0.825
complex.8_15_41_corrected_H_0001_T41,0.684,2.285,0.737,0.807
complex.8_15_46_corrected_H_0001_T41,0.474,3.17,1.136,0.662
complex.8_16_13_corrected_H_0001_T41,0.877,3.234,0.994,0.815
complex.8_16_18_corrected_H_0001_T41,0.912,1.701,0.558,0.917
complex.8_16_23_corrected_H_0001_T41,0.719,2.911,0.771,0.802
complex.8_16_27_corrected_H_0001_T41,0.86,3.067,0.92,0.824
complex.8_16_38_corrected_H_0001_T41,0.86,0.743,0.461,0.922
complex.8_16_3_corrected_H_0001_T41,0.912,2.083,0.673,0.896
complex.8_16_46_corrected_H_0001_T41,0.912,2.805,0.939,0.844
complex.8_16_49_corrected_H_0001_T41,0.895,2.591,0.923,0.845
complex.8_17_19_corrected_H_0001_T41,0.982,1.381,0.555,0.946
complex.8_17_22_corrected_H_0001_T41,0.947,0.871,0.505,0.945
complex.8_17_27_corrected_H_0001_T41,0.842,3.12,0.91,0.818
complex.8_17_32_corrected_H_0001_T41,0.825,0.832,0.595,0.893
complex.8_17_37_corrected_H_0001_T41,0.947,1.809,0.826,0.89
complex.8_17_42_corrected_H_0001_T41,0.684,1.92,0.859,0.796
complex.8_17_46_corrected_H_0001_T41,0.772,1.154,0.7,0.858
complex.8_18_13_corrected_H_0001_T41,0.982,1.279,0.56,0.946
complex.8_18_25_corrected_H_0001_T41,0.965,1.653,0.624,0.927
complex.8_18_37_corrected_H_0001_T41,0.965,1.78,0.644,0.922
complex.8_18_46_corrected_H_0001_T41,0.912,0.875,0.545,0.928
complex.8_1_27_corrected_H_0001_T41,0.053,22.164,13.702,0.064
complex.8_1_32_corrected_H_0001_T41,0.053,22.827,11.402,0.064
complex.8_1_3_corrected_H_0001_T41,0.088,20.491,9.925,0.086
complex.8_1_45_corrected_H_0001_T41,0.018,23.453,6.107,0.064
complex.8_2_13_corrected_H_0001_T41,0.123,17.564,7.589,0.117
complex.8_2_20_corrected_H_0001_T41,0.175,24.159,7.411,0.108
complex.8_2_4_corrected_H_0001_T41,0.07,22.245,5.33,0.09
complex.8_3_11_corrected_H_0001_T41,0.123,18.246,4.579,0.133
complex.8_3_15_corrected_H_0001_T41,0.123,15.036,6.682,0.138
complex.8_3_38_corrected_H_0001_T41,0.088,17.323,4.646,0.125
complex.8_3_39_corrected_H_0001_T41,0.211,15.855,6.961,0.159
complex.8_3_3_corrected_H_0001_T41,0.105,15.88,5.721,0.131
complex.8_4_19_corrected_H_0001_T41,0.281,14.525,5.237,0.204
complex.8_4_43_corrected_H_0001_T41,0.088,9.239,5.394,0.206
complex.8_5_0_corrected_H_0001_T41,0.351,11.786,3.558,0.281
complex.8_5_28_corrected_H_0001_T41,0.368,8.715,4.211,0.323
complex.8_5_36_corrected_H_0001_T41,0.316,12.657,3.728,0.255
complex.8_6_17_corrected_H_0001_T41,0.474,8.963,2.436,0.407
complex.8_6_19_corrected_H_0001_T41,0.333,6.331,2.848,0.398
complex.8_6_21_corrected_H_0001_T41,0.404,11.499,3.174,0.313
complex.8_6_24_corrected_H_0001_T41,0.123,7.306,3.501,0.284
complex.8_6_27_corrected_H_0001_T41,0.228,6.565,3.005,0.351
complex.8_6_40_corrected_H_0001_T41,0.175,7.289,3.385,0.305
complex.8_7_14_corrected_H_0001_T41,0.456,10.12,2.969,0.358
complex.8_7_15_corrected_H_0001_T41,0.333,6.789,3.511,0.366
complex.8_7_1_corrected_H_0001_T41,0.263,7.724,3.107,0.333
complex.8_7_3_corrected_H_0001_T41,0.333,8.893,2.99,0.337
complex.8_8_12_corrected_H_0001_T41,0.368,5.691,2.354,0.449
complex.8_8_30_corrected_H_0001_T41,0.368,7.882,2.836,0.375
complex.8_8_40_corrected_H_0001_T41,0.316,5.379,2.864,0.415
complex.8_8_49_corrected_H_0001_T41,0.246,8.672,3.257,0.304
complex.8_8_8_corrected_H_0001_T41,0.281,5.397,3.12,0.394
complex.8_9_20_corrected_H_0001_T41,0.561,4.569,1.5,0.612
complex.8_9_32_corrected_H_0001_T41,0.702,4.854,1.388,0.665
complex.8_9_36_corrected_H_0001_T41,0.649,7.323,1.881,0.537
complex.8_9_46_corrected_H_0001_T41,0.439,7.245,2.462,0.429
complex.9_0_18_corrected_H_0001_T41,0.0,37.98,9.993,0.023
complex.9_0_2_corrected_H_0001_T41,0.0,23.079,11.762,0.045
complex.9_0_45_corrected_H_0001_T41,0.0,35.793,13.125,0.022
complex.9_0_4_corrected_H_0001_T41,0.0,46.8,13.632,0.015
complex.9_10_7_corrected_H_0001_T41,0.596,4.885,1.535,0.612
complex.9_11_19_corrected_H_0001_T41,0.596,5.328,1.536,0.601
complex.9_11_1_corrected_H_0001_T41,0.421,6.461,1.723,0.495
complex.9_11_29_corrected_H_0001_T41,0.667,5.705,1.516,0.617
complex.9_11_6_corrected_H_0001_T41,0.754,6.171,1.701,0.616
complex.9_12_12_corrected_H_0001_T41,0.825,5.279,1.462,0.686
complex.9_12_13_corrected_H_0001_T41,0.877,4.013,1.193,0.769
complex.9_12_19_corrected_H_0001_T41,0.912,3.213,1.139,0.807
complex.9_12_24_corrected_H_0001_T41,0.684,3.838,1.422,0.68
complex.9_12_36_corrected_H_0001_T41,0.877,2.109,0.847,0.859
complex.9_12_42_corrected_H_0001_T41,0.895,2.575,0.872,0.853
complex.9_12_8_corrected_H_0001_T41,0.491,2.873,1.478,0.632
complex.9_12_9_corrected_H_0001_T41,0.807,5.665,1.353,0.684
complex.9_13_1_corrected_H_0001_T41,0.632,2.484,0.957,0.754
complex.9_13_24_corrected_H_0001_T41,0.579,3.25,1.154,0.693
complex.9_13_41_corrected_H_0001_T41,0.421,5.396,1.965,0.501
complex.9_13_48_corrected_H_0001_T41,0.526,2.69,1.43,0.653
complex.9_14_26_corrected_H_0001_T41,0.895,0.636,0.502,0.929
complex.9_14_27_corrected_H_0001_T41,0.93,1.908,0.818,0.884
complex.9_14_34_corrected_H_0001_T41,0.807,3.597,0.94,0.791
complex.9_14_3_corrected_H_0001_T41,0.912,1.604,0.503,0.926
complex.9_14_49_corrected_H_0001_T41,0.561,2.393,1.207,0.698
complex.9_14_9_corrected_H_0001_T41,0.807,3.991,0.955,0.779
complex.9_15_13_corrected_H_0001_T41,0.649,3.952,1.258,0.686
complex.9_15_14_corrected_H_0001_T41,0.754,2.655,0.896,0.801
complex.9_15_48_corrected_H_0001_T41,0.912,2.077,0.871,0.868
complex.9_15_6_corrected_H_0001_T41,0.912,1.452,0.726,0.898
complex.9_16_28_corrected_H_0001_T41,0.895,1.451,0.761,0.887
complex.9_16_29_corrected_H_0001_T41,0.947,1.666,0.599,0.924
complex.9_16_30_corrected_H_0001_T41,0.877,3.176,0.922,0.827
complex.9_16_33_corrected_H_0001_T41,0.754,1.3,0.577,0.868
complex.9_16_35_corrected_H_0001_T41,0.877,2.563,0.798,0.858
complex.9_16_47_corrected_H_0001_T41,0.93,1.792,0.918,0.872
complex.9_16_6_corrected_H_0001_T41,0.895,2.662,1.014,0.831
complex.9_17_16_corrected_H_0001_T41,0.895,1.794,0.556,0.91
complex.9_17_26_corrected_H_0001_T41,0.842,1.849,0.622,0.883
complex.9_17_2_corrected_H_0001_T41,0.912,2.464,0.778,0.874
complex.9_17_48_corrected_H_0001_T41,0.912,1.619,0.767,0.89
complex.9_18_11_corrected_H_0001_T41,0.965,0.942,0.476,0.954
